,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,mar del plata,0,AR,1567648654,57,-46.43,-67.52,32.37,7.85
1,hermanus,3,ZA,1567648654,60,-34.42,19.24,57.0,8.01
2,bathsheba,40,BB,1567648654,78,13.22,-59.52,82.4,13.87
3,albany,1,US,1567648551,100,42.65,-73.75,66.2,6.93
4,sibu,75,MY,1567648654,74,2.29,111.83,84.2,2.24
5,kenora,100,CA,1567648655,72,49.76,-94.48,62.6,4.7
6,virginia beach,1,US,1567648429,94,36.85,-75.98,82.99,16.89
7,pevek,83,RU,1567648655,82,69.7,170.27,41.05,6.02
8,yazykovo,0,RU,1567648655,84,54.3,47.38,47.19,0.67
9,cockburn town,18,TC,1567648655,82,21.46,-71.14,83.85,18.28
10,cape town,0,ZA,1567648655,67,-33.93,18.42,57.99,21.92
11,imeni zhelyabova,2,RU,1567648655,96,58.95,36.6,45.71,2.91
12,filingue,67,NE,1567648656,57,14.35,3.32,86.32,13.67
13,butaritari,100,KI,1567648656,71,3.07,172.79,84.72,8.43
14,carutapera,0,BR,1567648656,79,-1.2,-46.02,78.13,7.27
15,ushuaia,75,AR,1567648656,56,-54.81,-68.31,42.8,10.29
16,sheltozero,2,RU,1567648656,93,61.37,35.37,49.56,10.49
17,campos,0,PT,1567648656,67,41.97,-8.7,69.01,13.87
18,hasaki,75,JP,1567648657,78,35.73,140.83,80.6,4.7
19,tasgaon,100,IN,1567648657,85,17.04,74.6,73.92,17.18
20,castro,0,CL,1567648657,74,-42.48,-73.76,35.6,4.7
21,paso de los toros,0,UY,1567648657,80,-32.81,-56.52,35.27,7.47
22,lagoa,0,PT,1567648657,78,37.14,-8.45,77.0,4.7
23,yellowknife,75,CA,1567648657,44,62.45,-114.38,57.2,13.87
24,taltal,0,CL,1567648658,83,-25.41,-70.49,48.93,3.83
25,bluff,0,AU,1567648658,11,-23.58,149.07,86.68,4.23
26,broome,52,GB,1567648658,87,52.47,1.45,55.0,17.22
27,sioux lookout,75,CA,1567648658,76,50.1,-91.92,59.0,3.36
28,marsa matruh,0,EG,1567648658,88,31.35,27.25,73.4,9.19
29,steinbach,75,CA,1567648658,56,49.53,-96.69,69.8,10.29
30,ribeira grande,87,PT,1567648658,76,38.52,-28.7,72.15,11.07
31,talnakh,90,RU,1567648659,100,69.49,88.39,46.4,11.18
32,sao raimundo das mangabeiras,0,BR,1567648659,45,-7.02,-45.48,76.69,1.19
33,berlevag,0,NO,1567648659,75,70.86,29.09,49.56,11.23
34,victoria,75,BN,1567648406,83,5.28,115.24,84.2,2.24
35,jamestown,15,AU,1567648400,53,-33.21,138.6,64.25,11.3
36,galle,100,GN,1567648659,97,10.08,-12.83,70.51,1.59
37,hilo,90,US,1567648560,66,19.71,-155.08,84.2,5.82
38,lebu,75,ET,1567648659,87,8.96,38.73,59.0,9.17
39,calabozo,100,VE,1567648466,93,8.92,-67.43,76.11,3.29
40,saint-philippe,20,CA,1567648660,62,45.36,-73.48,61.0,11.41
41,vila franca do campo,20,PT,1567648660,68,37.72,-25.43,71.01,13.87
42,vardo,1,US,1567648660,57,39.62,-77.74,82.4,4.7
43,torbay,90,CA,1567648392,100,47.66,-52.73,64.0,11.41
44,tasiilaq,100,GL,1567648660,52,65.61,-37.64,44.6,21.92
45,airai,40,TL,1567648661,47,-8.93,125.41,82.81,6.33
46,pacific grove,1,US,1567648661,53,36.62,-121.92,80.01,11.41
47,honiara,40,SB,1567648661,70,-9.43,159.96,86.0,9.17
48,opuwo,0,NA,1567648661,69,-18.06,13.84,52.91,1.23
49,puerto ayora,67,EC,1567648661,95,-0.74,-90.35,68.0,8.97
50,abaza,100,RU,1567648662,69,52.65,90.1,51.13,2.64
51,dingle,86,PH,1567648662,63,11.0,122.67,87.45,8.34
52,ponta do sol,100,BR,1567648662,40,-20.63,-46.0,75.43,4.45
53,qaanaaq,6,GL,1567648662,53,77.48,-69.36,29.19,7.05
54,punta arenas,0,CL,1567648662,80,-53.16,-70.91,39.0,4.0
55,mahebourg,75,MU,1567648662,88,-20.41,57.7,72.0,3.36
56,boden,65,SE,1567648663,93,65.83,21.69,41.0,1.12
57,miles city,1,US,1567648598,16,46.41,-105.84,93.2,4.7
58,barrow,4,AR,1567648663,87,-38.31,-60.23,32.57,1.83
59,guerrero negro,0,MX,1567648663,83,27.97,-114.04,73.2,9.8
60,bredasdorp,49,ZA,1567648663,86,-34.53,20.04,41.0,4.56
61,rio grande,20,BR,1567648387,87,-32.03,-52.1,43.0,5.59
62,meulaboh,60,ID,1567648664,84,4.14,96.13,80.54,10.22
63,mataura,49,NZ,1567648664,73,-46.19,168.86,54.0,3.0
64,vaini,75,IN,1567648664,94,15.34,74.49,69.8,11.41
65,tautira,20,PF,1567648664,65,-17.73,-149.15,82.4,10.29
66,tazovskiy,100,RU,1567648393,88,67.47,78.7,47.33,8.55
67,narsaq,0,GL,1567648664,57,60.91,-46.05,46.4,11.41
68,natal,20,BR,1567648664,88,-5.81,-35.21,73.4,6.93
